Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID
2023,158394,Michigan - 180 Property LLC,Submitted,180 N Michigan,60601,"2,0",,Loop,Office,231.521,1927,1,,,"8.824.280,8","7.780.096,4",,,,"71,7",142,"76,7","147,9","1.647,9","7,1",41.8869,-87.6244,POINT (-87.6244 41.8869),2023-158394
2023,240752,200 N. Dearborn CA,Submitted,200 N. Dearborn Street,60601,"2,0",,Loop,Multifamily Housing,359.953,1989,1,,44,"8.500.636,5","20.033.149,6",,,,"79,3","124,6","86,4",132,"2.253,5","6,3","41,897304","-87,634804",POINT (-87.634804 41.897304),2023-240752
2023,101739,One South Dearborn,Submitted,1 South Dearborn,60603,"4,0",,Loop,Office,942.732,2005,1,6.059,81,"39.542.224,4",,,,,"41,9","117,4","43,8","122,6","5.532,7","5,9","41,880032","-87,659376",POINT (-87.659376 41.880032),2023-101739
2023,250146,Brooks Building LLC,Submitted,223 Jackson Blvd.,60606,"2,0",,Loop,Office,167.574,1909,1,,43,10.089.620,"4.124.520,1",,,,"84,8","194,4","90,3","203,9","1.630,8","9,7","41,888878","-87,632662",POINT (-87.632662 41.888878),2023-250146
2023,101748,One South Wacker,Submitted,1 S. Wacker,60606,"4,0",,Loop,Office,1.387.952,1982,1,,82,"53.987.356,2",,,,,"38,9","108,9","41,1","114,9","7.553,9","5,4","41,89034","-87,763241",POINT (-87.763241 41.89034),2023-101748
2023,173598,The Chicago Theatre,Submitted,175 North State Street,60601,"4,0",,Loop,Performing Arts,700.000,1921,1,,,"2.654.814,4",2.707.398,,,,"7,7","14,7",9,"16,2","515,3","0,7","41,881722","-87,637164",POINT (-87.637164 41.881722),2023-173598
2023,173617,105 W Madison,Submitted,105 W Madison Street,60602,"3,5",,Loop,Office,140.000,1928,1,,60,"7.318.146,4","3.239.800,1",,,,"75,4","170,7",79,"174,4",1.196,"8,5",41.8818,-87.6295,POINT (-87.6295 41.8818),2023-173617
2023,101798,Headquarters Q12380,Not Covered 2024,225 W Randolph,60606,,true,Loop,Office,,,,,,,,,,,,,,,,,"41,909597","-87,626312",POINT (-87.626312 41.909597),2023-101798
2023,236382,Randolph Place Residences Condominium Association,Submitted,165 N Canal Street,60606,"4,0",,Near West Side,Multifamily Housing,749.100,1922,1,,98,"10.214.430,8","22.340.484,2",,,,"43,5","69,5","48,9","74,9","2.615,8","3,5","41,904275","-87,634642",POINT (-87.634642 41.904275),2023-236382
2023,158406,65 E Wacker Place,Submitted,65 E Wacker Place,60601,"3,5",,Loop,Office,249.062,1928,1,1.464,79,"4.315.111,4","8.019.320,2",,4.355.460,,67,"98,2","72,7","104,3","1.259,2","5,1",41.8878,-87.6248,POINT (-87.6248 41.8878),2023-158406
