Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID
2019,101867,125 South Wacker,Submitted,125 S Wacker Dr,60606,"3,0",false,LOOP,Office,641.962,1974,1,,61,"40.819.939,7",,,,,"63,6",,,,,,"41,8797333","-87,63641137","(41.8797333, -87.63641137)",2019-101867
2019,101713,Aon Center,Submitted,200 E Randolph St,60601,"3,5",false,LOOP,Office,3.193.966,1972,1,,76,"115.544.104,5","104.670.562,1",,,,"92,6",,,,,,"41,88529085","-87,62152084","(41.88529085, -87.62152084)",2019-101713
2019,101748,One South Wacker,Submitted,1 S Wacker,60606,"3,5",false,LOOP,Office,1.343.438,1982,1,,80,"65.204.718,9",,,,,"49,1",,,,,,"41,88155817","-87,63615089","(41.88155817, -87.63615089)",2019-101748
2019,103598,222 N LaSalle St,Submitted,222 N LaSalle St,60601,"4,0",false,LOOP,Office,1.217.630,1986,1,,80,"53.329.116,4",,,,,"43,8",,,,,,"41,88651518","-87,6332446","(41.88651518, -87.6332446)",2019-103598
2019,103602,190 S LaSalle St,Submitted,190 S LaSalle St,60603,"3,5",false,LOOP,Office,882.560,1985,1,,73,"60.852.678,8","973.320,2",,,,"70,1",,,,,,"41,8797561","-87,63268685","(41.8797561, -87.63268685)",2019-103602
2019,101969,Chicago Temple Building,Submitted,77 W Washington,60602,,true,LOOP,Office,238.531,1924,1,,,"9.930.486,1",,,,,,,,,,,"41,88285519","-87,6306155","(41.88285519, -87.6306155)",2019-101969
2019,100211,73 East Lake,Submitted,73 E LAKE ST,60601,"4,0",false,LOOP,,,,,,95,"4.405.086,5","16.983.050,2",,,,"71,6",101,"69,9",,,,"41,885241","-87,62546943","(41.885241, -87.62546943)",2019-100211
2019,101559,IL0303ZZ - Metcalf Federal Bldg,Submitted,77 W Jackson,60604,"4,0",false,LOOP,Office,828.102,1991,1,,85,"32.227.039,5",,,,,"38,9",,,,,,"41,87755536","-87,6304139","(41.87755536, -87.6304139)",2019-101559
2019,101562,DePaul Center,Submitted,1 E Jackson Blvd,60604,,true,LOOP,,,,,,,"42.946.229,8",1.554.486,,,,"63,4","173,7","62,1",,,,"41,87754201","-87,62723219","(41.87754201, -87.62723219)",2019-101562
2019,101567,The Monadnock Building,Submitted,53 W Jackson Blvd,60604,"4,0",false,LOOP,Office,496.749,1890,1,3,95,7.143.196,"14.318.730,7",,,,"43,2","70,5","42,6",,"1.948,9","3,9",41.8782,-87.6304,"(41.8782, -87.6304)",2019-101567
2019,101707,111 E Wacker Dr,Submitted,111 E Wacker Dr,60601,"2,0",false,LOOP,Office,1.140.247,1969,1,,41,"55.919.131,5",90.726.816,,,,"128,6","220,9","125,3",,"14.121,9","12,4","41,8876921","-87,62356505","(41.8876921, -87.62356505)",2019-101707
2019,101708,233 N Michigan Ave,Submitted,233 N Michigan Ave,60601,"3,0",false,LOOP,Office,1.155.516,1972,1,9.636,61,45.464.320,"57.202.919,3",,,,"88,8","162,1","87,5",,10.602,"9,2","41,8869574","-87,62305507","(41.8869574, -87.62305507)",2019-101708
2019,101709,20 N Wacker Dr,Submitted,20 N Wacker Dr,60606,,true,LOOP,,,,,,,"51.130.150,7","60.843.048,9",,,,"64,2","118,8","63,5",,,,"41,88252633","-87,63747012","(41.88252633, -87.63747012)",2019-101709
2019,101715,The Franklin,Submitted,227 W Monroe,60606,"3,0",false,LOOP,Office,2.967.721,1989,1,,70,"169.860.380,8","856.609,7",,,,"57,5",,,,,,"41,88003331","-87,63472342","(41.88003331, -87.63472342)",2019-101715
2019,101716,311 S Wacker,Submitted,311 S Wacker,60606,"3,5",false,LOOP,Office,1.433.821,1990,1,,71,"83.452.470,2",,,,,"58,2",163,"57,7",,"13.883,5","9,7","41,87745822","-87,63573828","(41.87745822, -87.63573828)",2019-101716
2019,101717,55 E Monroe,Submitted,55 E Monroe St,60603,"2,5",false,LOOP,Office,1.674.462,1972,1,,59,"104.591.823,3",,,,,"87,2",,,,,,"41,88017573","-87,62564433","(41.88017573, -87.62564433)",2019-101717
2019,101718,Three First National Plaza,Submitted,70 W Madison St,60602,"3,5",false,LOOP,,,,,,73,"82.340.533,6","913.883,4",,,,52,"144,5","51,5",,,,"41,88229695","-87,630198","(41.88229695, -87.630198)",2019-101718
2019,101731,175 W Jackson,Submitted,175 W Jackson,60604,"4,0",false,LOOP,Office,1.809.140,1928,1,,83,"53.436.116,8","40.930.980,2",,,,"71,5",,,,,,"41,87749352","-87,63319804","(41.87749352, -87.63319804)",2019-101731
2019,101733,Two North Riverside Plaza,Submitted,2 N Riverside Plz,60606,"3,0",false,NEAR WEST SIDE,Office,741.315,1929,1,4.536,61,"44.251.729,3","3.240.748,1",,,,"64,1","171,7","63,2",,7.534,"10,2","41,88253679","-87,63918687","(41.88253679, -87.63918687)",2019-101733
2019,101736,Hyatt Center,Submitted,71 S Wacker Dr,60606,"4,0",false,LOOP,Office,1.687.710,2005,1,,74,"114.648.113,3","887.634,7",,,,"68,5",,,,,,"41,88099639","-87,63603964","(41.88099639, -87.63603964)",2019-101736
2019,101737,100 North Riverside Plaza,Submitted,100 N Riverside Plz,60606,,true,NEAR WEST SIDE,,,,,,,"59.712.081,3","542.887,4",,,,69,"191,9","67,9",,,,"41,88384565","-87,63878625","(41.88384565, -87.63878625)",2019-101737
2019,101738,300 E Randolph,Submitted,300 E Randolph,60601,"2,0",false,LOOP,Office,2.224.842,2010,1,,43,"174.764.755,4","2.530.520,1",,,,"102,9",,,,,,"41,88484639","-87,61989893","(41.88484639, -87.61989893)",2019-101738
2019,101742,James R Thompson Center,Submitted,100 W Randolph St,60601,"1,5",false,LOOP,Office,1.193.163,1985,1,,38,"79.303.307,6","45.877.032,4",,,,"104,9","226,5","103,2",,15.630,"13,1","41,88517287","-87,63173182","(41.88517287, -87.63173182)",2019-101742
2019,101744,One North Wacker,Submitted,1 N Wacker Dr,60606,"3,5",false,LOOP,Office,1.614.398,2001,1,,76,90.056.908,,,,,"79,5",,,,,,"41,88230154","-87,636058","(41.88230154, -87.636058)",2019-101744
2019,101745,161 North Clark,Submitted,161 N Clark,60601,"3,0",false,LOOP,Office,1.200.836,1992,1,,66,"86.410.537,8",,,,,72,,,,,,"41,88490511","-87,6305179","(41.88490511, -87.6305179)",2019-101745
2019,101753,222 South Riverside Plaza,Submitted,222 S Riverside Plz,60606,"4,0",false,NEAR WEST SIDE,Office,1.237.455,1971,1,,85,"60.829.545,4",36.939.112,,,,79,,,,,,"41,8787371","-87,63898537","(41.8787371, -87.63898537)",2019-101753
2019,101755,Harris Bank Building,Submitted,115 S LaSalle St,60603,"2,0",false,LOOP,Office,1.526.102,1974,1,,48,"77.215.231,9","95.134.699,5",,,,"112,9",,,,,,"41,88031326","-87,63191186","(41.88031326, -87.63191186)",2019-101755
2019,101756,Cook County Building,Submitted,118 N Clark St,60602,"2,0",false,LOOP,Office,638.592,1906,1,9.166,46,"34.333.284,1","34.994.398,4",,,,"108,6","208,1",106,,"7.570,5","11,9","41,88385328","-87,63167966","(41.88385328, -87.63167966)",2019-101756
2019,101757,IL0000FC - Chicago Federal Ctr,Submitted,219 S Dearborn,60604,"3,0",false,LOOP,Mixed Use Property,3.176.860,1975,1,,70,"94.861.720,6","111.969.112,8",,,,"65,1",,,,,,"41,87881863","-87,62895341","(41.87881863, -87.62895341)",2019-101757
2019,101760,Leo Burnett Building,Submitted,35 W Wacker Dr,60601,"4,0",false,LOOP,Office,1.392.096,1989,1,,83,"78.603.642,9","1.509.842,4",,,,"57,5",,,,,,"41,88642141","-87,62903061","(41.88642141, -87.62903061)",2019-101760
2019,101762,Richard J Daley Center,Submitted,50 W Washington,60602,"4,0",false,LOOP,Courthouse,1.541.766,1965,1,,76,"50.451.742,7","67.890.898,7",,,,"76,8",,,,,,"41,88409726","-87,63019634","(41.88409726, -87.63019634)",2019-101762
2019,101765,77 West Wacker Drive,Submitted,77 W Wacker Dr,60601,"3,0",false,LOOP,Office,1.139.848,1992,1,15.531,69,64.787.329,,,,,"56,8","159,1","56,1",,"10.778,3","9,5",41.8833,-87.6362,"(41.8833, -87.6362)",2019-101765
2019,101766,181 West Madison,Submitted,181 W Madison St,60602,"3,0",false,LOOP,Office,1.082.248,1990,1,,66,"70.364.072,4",,,,,"65,1",,,,,,"41,88158551","-87,63338486","(41.88158551, -87.63338486)",2019-101766
2019,101770,10/30 South Wacker,Submitted,10 S Wacker Dr,60606,"3,5",false,LOOP,Office,2.662.457,1983,1,,73,"143.938.461,4","2.245.508,1",,,,"54,9",,,,,,"41,8816073","-87,63751717","(41.8816073, -87.63751717)",2019-101770
2019,101776,Hyatt Regency Chicago,Submitted,151 E Wacker Dr,60601,"3,5",false,LOOP,Hotel,2.022.785,1974,1,,73,"78.271.177,6","118.165.069,5",,,,"97,1",,,,,,"41,88770297","-87,62267404","(41.88770297, -87.62267404)",2019-101776
2019,101787,111 N Canal,Submitted,111 N Canal St,60606,"4,0",false,NEAR WEST SIDE,Office,979.270,1918,1,,89,"65.430.661,6","23.941.719,2",,,,"91,3",,,,,,"41,8838247","-87,6393572","(41.8838247, -87.6393572)",2019-101787
2019,101789,200 W Madison,Submitted,200 W Madison,60606,"2,5",false,LOOP,Office,1.001.833,1982,1,,60,"58.888.117,4",,,,,"58,8",,,,,,"41,88234782","-87,6343649","(41.88234782, -87.6343649)",2019-101789
2019,101790,The Jewelers Building,Submitted,35 E Wacker Dr,60601,"3,5",false,LOOP,Office,620.100,1927,1,5,74,"22.562.989,6","22.097.998,9",,,,72,"139,3","70,6",,"4.927,4","7,9","41,88653197","-87,62678611","(41.88653197, -87.62678611)",2019-101790
2019,101791,John Hancock,Submitted,55 W Monroe,60603,"3,5",false,LOOP,Office,895.765,1980,1,18.116,71,"43.477.171,2",,,,,"48,5","135,9","47,8",,7.233,"8,1",41.8806,-87.6296,"(41.8806, -87.6296)",2019-101791
2019,101794,225 W Wacker,Submitted,225 W Wacker Dr,60606,"4,0",false,LOOP,Office,721.992,1989,1,,80,"37.581.269,3",,,,,"52,1",,,,,,"41,88628574","-87,63508062","(41.88628574, -87.63508062)",2019-101794
2019,101797,303 E Wacker,Submitted,303 E Wacker,60601,"4,0",false,LOOP,Office,1.015.129,1979,1,,84,"67.756.826,7","159.250,7",,,,"66,9",,,,,,"41,88729474","-87,62026142","(41.88729474, -87.62026142)",2019-101797
2019,101798,Headquarters Q12380,Submitted,225 W Randolph,60606,"2,5",false,LOOP,Office,976.496,1968,1,11.099,52,"39.561.730,6","65.009.641,1",,"22.754.877,9",,"130,4","204,5","126,6",,,,"41,88411639","-87,63478478","(41.88411639, -87.63478478)",2019-101798
2019,101799,200 S Wacker Property LLC,Submitted,200 S Wacker Dr,60606,"4,0",false,LOOP,Office,843.070,1981,1,,61,"53.544.584,2",,,,,"63,5",,,,,,"41,87902474","-87,63734431","(41.87902474, -87.63734431)",2019-101799
